Num_Acc;catv;situ;adr;jour;mois;an;dep;lat;long;hrmn;atm;grav;sexe;an_nais;trajet;age
201900006022;1;1;RUE DAVID D ANGERS;17;9;2019;75;48.881327;2.396689;08:15;1;1;1;1987;1;32
201900006022;1;1;RUE DAVID D ANGERS;17;9;2019;75;48.881327;2.396689;08:15;1;4;1;2006;2;13
201900006025;1;1;RUE DU LAOS;16;9;2019;75;48.849175;2.301287;08:35;1;4;2;1975;1;44
201900006025;1;1;RUE DU LAOS;16;9;2019;75;48.849175;2.301287;08:35;1;1;1;1971;4;48
201900006026;1;5;RUE VERCINGETORIX;17;9;2019;75;48.8312642;2.3090114;19:45;1;4;1;1985;5;34
201900006026;1;5;RUE VERCINGETORIX;17;9;2019;75;48.8312642;2.3090114;19:45;1;4;1;1977;1;42
201900006028;1;5;BOULEVARD DIDEROT;17;9;2019;75;48.847905;2.391538;16:35;1;3;1;1949;5;70
201900006030;1;1;RUE LA BOETIE;17;9;2019;75;48.871881;2.308411;06:31;1;1;1;1969;4;50
201900006030;1;1;RUE LA BOETIE;17;9;2019;75;48.871881;2.308411;06:31;1;4;1;1983;0;36
201900006639;1;1;RUE D ALESIA;20;10;2019;75;48.831975;2.3135625;11:30;2;4;1;1979;5;40
201900006641;1;1;QUAI DE BERCY;20;10;2019;75;48.8383652;2.3760779;03:14;1;1;1;1997;0;22
201900006641;1;1;QUAI DE BERCY;20;10;2019;75;48.8383652;2.3760779;03:14;1;1;1;1997;0;22
201900006641;1;1;QUAI DE BERCY;20;10;2019;75;48.8383652;2.3760779;03:14;1;1;1;1996;0;23
201900006641;1;1;QUAI DE BERCY;20;10;2019;75;48.8383652;2.3760779;03:14;1;4;1;1994;0;25
201900006645;1;5;BOULEVARD DE ROCHECHOUART;19;10;2019;75;48.8831798;2.3463485;21:10;2;4;1;1980;1;39
201900006645;1;5;BOULEVARD DE ROCHECHOUART;19;10;2019;75;48.8831798;2.3463485;21:10;2;1;1;1964;4;55
201900007205;1;1;ROUTE DE LA SEINE A LA BUTTE MORTEMART;24;11;2019;75;48.851771;2.23295;14:45;1;4;1;1943;5;76
201900007205;1;1;ROUTE DE LA SEINE A LA BUTTE MORTEMART;24;11;2019;75;48.851771;2.23295;14:45;1;1;1;1961;5;58
201900007205;1;1;ROUTE DE LA SEINE A LA BUTTE MORTEMART;24;11;2019;75;48.851771;2.23295;14:45;1;4;1;1943;5;76
